id,flavor_name,category,ingredients,sugar_g_per_serving,fat_g_per_serving,calories_per_serving,allergens,health_risk,description
129,Pineapple Fusion,Healthy,"wafer pieces, caramel syrup, chocolate chips, sugar, natural flavor, honey, brown sugar",23,5,247,None,Nut allergens may cause allergic reactions,A delicious pineapple fusion ice cream with rich taste and smooth creamy texture.
130,Banana Cream,Exotic,"sugar, salt, chocolate chips, brown sugar, cocoa powder, honey, caramel syrup, fruit puree",19,9,234,None,High fat content may contribute to obesity,A delicious banana cream ice cream with rich taste and smooth creamy texture.
131,Hazelnut Cream,Fruit,"honey, caramel syrup, natural flavor, food coloring, milk, chocolate chips",27,19,314,Soy,High fat content may contribute to obesity,A delicious hazelnut cream ice cream with rich taste and smooth creamy texture.
132,Vanilla Fusion,Premium,"roasted nuts, cream, sugar, cocoa powder, butter, vanilla extract, food coloring",26,17,238,Gluten,Artificial colors may cause mild sensitivity,A delicious vanilla fusion ice cream with rich taste and smooth creamy texture.
133,Vanilla Fusion,Fruit,"fruit puree, brown sugar, cocoa powder, natural flavor, cookie crumbs, chocolate chips",29,9,332,None,High sugar intake may increase risk of diabetes,A delicious vanilla fusion ice cream with rich taste and smooth creamy texture.
134,Marshmallow Fusion,Candy,"cream, wafer pieces, cookie crumbs, corn syrup, brown sugar, vanilla extract, salt",18,5,339,None,High sugar intake may increase risk of diabetes,A delicious marshmallow fusion ice cream with rich taste and smooth creamy texture.
135,Passion Fruit Dream,Candy,"butter, cocoa powder, salt, honey, cream",22,11,209,Soy,High fat content may contribute to obesity,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
136,Lemon Cream,Candy,"fruit puree, salt, cream, cocoa powder, corn syrup, milk",16,11,299,Soy,Artificial colors may cause mild sensitivity,A delicious lemon cream ice cream with rich taste and smooth creamy texture.
137,Peach Swirl,Healthy,"sugar, honey, natural flavor, fruit puree, cocoa powder",22,20,209,Nuts,High fat content may contribute to obesity,A delicious peach swirl ice cream with rich taste and smooth creamy texture.
138,Cookies & Cream Blast,Healthy,"fruit puree, cocoa powder, sugar, vanilla extract, wafer pieces",29,19,283,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious cookies & cream blast ice cream with rich taste and smooth creamy texture.
139,Blueberry Delight,Classic,"cookie crumbs, brown sugar, fruit puree, caramel syrup, wafer pieces",34,14,198,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious blueberry delight ice cream with rich taste and smooth creamy texture.
140,Honey Dream,Fruit,"food coloring, chocolate chips, cream, corn syrup, roasted nuts",19,5,212,Nuts,Nut allergens may cause allergic reactions,A delicious honey dream ice cream with rich taste and smooth creamy texture.
141,Coffee Swirl,Nut,"cream, wafer pieces, natural flavor, vanilla extract, food coloring, salt",22,14,217,Peanuts,Artificial colors may cause mild sensitivity,A delicious coffee swirl ice cream with rich taste and smooth creamy texture.
142,Papaya Blast,Exotic,"chocolate chips, butter, caramel syrup, food coloring, vanilla extract, cocoa powder, condensed milk, sugar",35,11,260,Nuts,Artificial colors may cause mild sensitivity,A delicious papaya blast ice cream with rich taste and smooth creamy texture.
143,Coffee Cream,Healthy,"brown sugar, roasted nuts, butter, cocoa powder, fruit puree, caramel syrup, natural flavor",20,17,227,Milk,Nut allergens may cause allergic reactions,A delicious coffee cream ice cream with rich taste and smooth creamy texture.
144,Cardamom Cream,Chocolate,"butter, honey, brown sugar, cookie crumbs, milk, sugar, salt, fruit puree",26,16,233,Soy,High calorie dessert – consume moderately,A delicious cardamom cream ice cream with rich taste and smooth creamy texture.
145,Marshmallow Dream,Healthy,"food coloring, honey, fruit puree, cookie crumbs, vanilla extract, salt",16,20,277,Nuts,Artificial colors may cause mild sensitivity,A delicious marshmallow dream ice cream with rich taste and smooth creamy texture.
146,Rose Fusion,Nut,"natural flavor, wafer pieces, butter, fruit puree, cookie crumbs",18,7,345,Peanuts,Artificial colors may cause mild sensitivity,A delicious rose fusion ice cream with rich taste and smooth creamy texture.
147,Fudge Swirl,Nut,"milk, butter, roasted nuts, honey, salt, chocolate chips, corn syrup, caramel syrup",32,10,201,Soy,High fat content may contribute to obesity,A delicious fudge swirl ice cream with rich taste and smooth creamy texture.
148,Cherry Swirl,Chocolate,"corn syrup, condensed milk, cream, caramel syrup, salt",21,17,259,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious cherry swirl ice cream with rich taste and smooth creamy texture.
149,Brownie Swirl,Premium,"caramel syrup, salt, fruit puree, sugar, milk, butter, vanilla extract, cookie crumbs",33,13,259,Soy,High fat content may contribute to obesity,A delicious brownie swirl ice cream with rich taste and smooth creamy texture.
150,Green Apple Dream,Healthy,"natural flavor, cookie crumbs, fruit puree, chocolate chips, vanilla extract, condensed milk",27,7,217,Peanuts,Nut allergens may cause allergic reactions,A delicious green apple dream ice cream with rich taste and smooth creamy texture.
151,Almond Cream,Fruit,"roasted nuts, salt, cream, natural flavor, butter, sugar, fruit puree, chocolate chips",29,10,217,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious almond cream ice cream with rich taste and smooth creamy texture.
152,Kitkat Swirl,Candy,"cream, sugar, chocolate chips, roasted nuts, wafer pieces, condensed milk",34,17,226,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious kitkat swirl ice cream with rich taste and smooth creamy texture.
153,White Chocolate Cream,Healthy,"fruit puree, salt, sugar, food coloring, cookie crumbs",18,11,199,Gluten,High sugar intake may increase risk of diabetes,A delicious white chocolate cream ice cream with rich taste and smooth creamy texture.
154,Marshmallow Delight,Premium,"sugar, cream, cocoa powder, fruit puree, vanilla extract, cookie crumbs",35,6,322,None,Artificial colors may cause mild sensitivity,A delicious marshmallow delight ice cream with rich taste and smooth creamy texture.
155,Lavender Blast,Candy,"sugar, corn syrup, cookie crumbs, condensed milk, brown sugar, vanilla extract",20,16,350,Peanuts,High calorie dessert – consume moderately,A delicious lavender blast ice cream with rich taste and smooth creamy texture.
156,Raspberry Cream,Healthy,"wafer pieces, sugar, honey, vanilla extract, natural flavor, butter, brown sugar, corn syrup",26,6,345,Milk,High fat content may contribute to obesity,A delicious raspberry cream ice cream with rich taste and smooth creamy texture.
157,Lemon Dream,Premium,"sugar, wafer pieces, roasted nuts, honey, condensed milk, salt",15,14,227,Gluten,Artificial colors may cause mild sensitivity,A delicious lemon dream ice cream with rich taste and smooth creamy texture.
158,Blueberry Delight,Chocolate,"food coloring, sugar, honey, cocoa powder, natural flavor, chocolate chips, caramel syrup",17,20,313,Gluten,High fat content may contribute to obesity,A delicious blueberry delight ice cream with rich taste and smooth creamy texture.
159,Raspberry Fusion,Candy,"cocoa powder, fruit puree, caramel syrup, cream, sugar",30,5,337,None,High sugar intake may increase risk of diabetes,A delicious raspberry fusion ice cream with rich taste and smooth creamy texture.
160,Lychee Delight,Healthy,"condensed milk, salt, natural flavor, roasted nuts, honey, food coloring, caramel syrup",21,13,191,Gluten,High calorie dessert – consume moderately,A delicious lychee delight ice cream with rich taste and smooth creamy texture.
161,Coffee Cream,Candy,"condensed milk, salt, chocolate chips, natural flavor, cookie crumbs, corn syrup",34,11,274,Soy,Nut allergens may cause allergic reactions,A delicious coffee cream ice cream with rich taste and smooth creamy texture.
162,Brownie Swirl,Fruit,"roasted nuts, fruit puree, natural flavor, wafer pieces, corn syrup",17,10,226,Gluten,High fat content may contribute to obesity,A delicious brownie swirl ice cream with rich taste and smooth creamy texture.
163,Tiramisu Swirl,Fruit,"brown sugar, corn syrup, fruit puree, cocoa powder, vanilla extract, caramel syrup",28,14,300,Soy,High fat content may contribute to obesity,A delicious tiramisu swirl ice cream with rich taste and smooth creamy texture.
164,Kitkat Blast,Healthy,"wafer pieces, honey, roasted nuts, natural flavor, corn syrup, food coloring, chocolate chips",35,18,260,Nuts,High sugar intake may increase risk of diabetes,A delicious kitkat blast ice cream with rich taste and smooth creamy texture.
165,Honey Dream,Premium,"roasted nuts, natural flavor, butter, chocolate chips, fruit puree",35,19,300,Peanuts,Artificial colors may cause mild sensitivity,A delicious honey dream ice cream with rich taste and smooth creamy texture.
166,Blueberry Swirl,Chocolate,"cream, chocolate chips, brown sugar, salt, corn syrup, milk, cocoa powder, butter",20,11,277,None,Artificial colors may cause mild sensitivity,A delicious blueberry swirl ice cream with rich taste and smooth creamy texture.
167,Kitkat Blast,Healthy,"sugar, food coloring, wafer pieces, cocoa powder, chocolate chips",28,6,300,Soy,High sugar intake may increase risk of diabetes,A delicious kitkat blast ice cream with rich taste and smooth creamy texture.
168,Mocha Delight,Healthy,"wafer pieces, corn syrup, caramel syrup, natural flavor, honey, brown sugar",28,5,287,Nuts,High sugar intake may increase risk of diabetes,A delicious mocha delight ice cream with rich taste and smooth creamy texture.
169,Pineapple Blast,Nut,"milk, cookie crumbs, vanilla extract, cream, condensed milk",30,9,191,Milk,Artificial colors may cause mild sensitivity,A delicious pineapple blast ice cream with rich taste and smooth creamy texture.
170,Tiramisu Dream,Exotic,"food coloring, roasted nuts, brown sugar, condensed milk, wafer pieces, cocoa powder",22,7,225,None,High calorie dessert – consume moderately,A delicious tiramisu dream ice cream with rich taste and smooth creamy texture.
171,Mango Fusion,Nut,"chocolate chips, condensed milk, cookie crumbs, natural flavor, salt",35,15,312,Nuts,Artificial colors may cause mild sensitivity,A delicious mango fusion ice cream with rich taste and smooth creamy texture.
172,Blackberry Cream,Healthy,"salt, cocoa powder, sugar, brown sugar, caramel syrup",16,9,321,Peanuts,High calorie dessert – consume moderately,A delicious blackberry cream ice cream with rich taste and smooth creamy texture.
173,Kitkat Delight,Premium,"caramel syrup, natural flavor, butter, vanilla extract, fruit puree, chocolate chips",15,5,219,Gluten,High sugar intake may increase risk of diabetes,A delicious kitkat delight ice cream with rich taste and smooth creamy texture.
174,Salted Caramel Blast,Premium,"condensed milk, cookie crumbs, milk, cocoa powder, vanilla extract, corn syrup",20,11,198,Milk,Artificial colors may cause mild sensitivity,A delicious salted caramel blast ice cream with rich taste and smooth creamy texture.
175,Passion Fruit Swirl,Chocolate,"roasted nuts, wafer pieces, cream, butter, sugar, corn syrup, food coloring, cocoa powder",29,12,285,Gluten,High sugar intake may increase risk of diabetes,A delicious passion fruit swirl ice cream with rich taste and smooth creamy texture.
176,Dark Chocolate Blast,Nut,"milk, roasted nuts, corn syrup, cookie crumbs, condensed milk",19,6,246,Milk,High calorie dessert – consume moderately,A delicious dark chocolate blast ice cream with rich taste and smooth creamy texture.
177,Caramel Dream,Candy,"condensed milk, salt, caramel syrup, cookie crumbs, milk, brown sugar",19,17,279,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious caramel dream ice cream with rich taste and smooth creamy texture.
178,Saffron Blast,Candy,"caramel syrup, honey, condensed milk, brown sugar, roasted nuts, cookie crumbs",24,15,346,Nuts,High fat content may contribute to obesity,A delicious saffron blast ice cream with rich taste and smooth creamy texture.
179,Bubblegum Fusion,Nut,"salt, chocolate chips, honey, wafer pieces, fruit puree, sugar, food coloring",19,5,335,Milk,High sugar intake may increase risk of diabetes,A delicious bubblegum fusion ice cream with rich taste and smooth creamy texture.
180,Raspberry Blast,Fruit,"caramel syrup, chocolate chips, honey, salt, food coloring, wafer pieces",19,12,248,Soy,High calorie dessert – consume moderately,A delicious raspberry blast ice cream with rich taste and smooth creamy texture.
181,Dragon Fruit Blast,Candy,"cookie crumbs, cocoa powder, food coloring, fruit puree, natural flavor, corn syrup",23,7,238,Gluten,Nut allergens may cause allergic reactions,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
182,Lychee Swirl,Fruit,"cream, sugar, cookie crumbs, brown sugar, wafer pieces",15,13,266,Nuts,Artificial colors may cause mild sensitivity,A delicious lychee swirl ice cream with rich taste and smooth creamy texture.
183,Red Velvet Cream,Healthy,"cocoa powder, cookie crumbs, roasted nuts, honey, brown sugar, salt, natural flavor",23,18,230,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious red velvet cream ice cream with rich taste and smooth creamy texture.
184,Passion Fruit Delight,Fruit,"chocolate chips, milk, roasted nuts, fruit puree, cookie crumbs, condensed milk, corn syrup, cream",27,17,207,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious passion fruit delight ice cream with rich taste and smooth creamy texture.
185,Banana Delight,Premium,"roasted nuts, butter, honey, caramel syrup, vanilla extract, brown sugar, salt",21,6,239,None,Contains dairy which may affect lactose intolerant individuals,A delicious banana delight ice cream with rich taste and smooth creamy texture.
186,Red Velvet Fusion,Chocolate,"condensed milk, fruit puree, salt, honey, cocoa powder",16,7,256,Gluten,High fat content may contribute to obesity,A delicious red velvet fusion ice cream with rich taste and smooth creamy texture.
187,Cherry Swirl,Candy,"vanilla extract, cookie crumbs, butter, honey, brown sugar, natural flavor",25,12,304,Milk,Artificial colors may cause mild sensitivity,A delicious cherry swirl ice cream with rich taste and smooth creamy texture.
188,Butterscotch Fusion,Healthy,"fruit puree, cocoa powder, vanilla extract, sugar, natural flavor, milk, roasted nuts, cream",25,15,340,Soy,Artificial colors may cause mild sensitivity,A delicious butterscotch fusion ice cream with rich taste and smooth creamy texture.
189,Raspberry Blast,Chocolate,"honey, cream, condensed milk, corn syrup, caramel syrup, salt, butter, cocoa powder",23,17,330,Nuts,Artificial colors may cause mild sensitivity,A delicious raspberry blast ice cream with rich taste and smooth creamy texture.
190,Fudge Delight,Fruit,"cocoa powder, chocolate chips, corn syrup, food coloring, natural flavor, salt, brown sugar, caramel syrup",29,9,239,Gluten,High calorie dessert – consume moderately,A delicious fudge delight ice cream with rich taste and smooth creamy texture.
191,Blueberry Blast,Healthy,"sugar, cookie crumbs, wafer pieces, natural flavor, cream, chocolate chips, corn syrup, vanilla extract",19,20,234,Nuts,High fat content may contribute to obesity,A delicious blueberry blast ice cream with rich taste and smooth creamy texture.
192,Dragon Fruit Blast,Classic,"cream, chocolate chips, caramel syrup, corn syrup, wafer pieces, honey, cookie crumbs",30,20,231,Nuts,Artificial colors may cause mild sensitivity,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
193,Honey Fusion,Candy,"vanilla extract, roasted nuts, honey, condensed milk, chocolate chips, sugar",32,19,237,Peanuts,High calorie dessert – consume moderately,A delicious honey fusion ice cream with rich taste and smooth creamy texture.
194,Lychee Dream,Healthy,"cocoa powder, fruit puree, condensed milk, butter, caramel syrup, chocolate chips, milk, cream",34,17,193,Milk,High fat content may contribute to obesity,A delicious lychee dream ice cream with rich taste and smooth creamy texture.
195,Honey Swirl,Exotic,"caramel syrup, roasted nuts, sugar, chocolate chips, condensed milk, food coloring, milk",15,13,303,Peanuts,Nut allergens may cause allergic reactions,A delicious honey swirl ice cream with rich taste and smooth creamy texture.
196,Coffee Swirl,Chocolate,"milk, honey, cream, brown sugar, fruit puree, natural flavor, cocoa powder",21,5,269,Peanuts,Nut allergens may cause allergic reactions,A delicious coffee swirl ice cream with rich taste and smooth creamy texture.
197,Mango Dream,Chocolate,"cream, cocoa powder, wafer pieces, corn syrup, caramel syrup, brown sugar",24,15,251,None,High fat content may contribute to obesity,A delicious mango dream ice cream with rich taste and smooth creamy texture.
198,Pistachio Fusion,Nut,"salt, chocolate chips, caramel syrup, food coloring, condensed milk, sugar",17,9,288,Peanuts,Artificial colors may cause mild sensitivity,A delicious pistachio fusion ice cream with rich taste and smooth creamy texture.
199,Hazelnut Blast,Premium,"cookie crumbs, cream, roasted nuts, butter, fruit puree, wafer pieces, vanilla extract",26,14,322,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious hazelnut blast ice cream with rich taste and smooth creamy texture.
200,Raspberry Swirl,Candy,"salt, fruit puree, condensed milk, cookie crumbs, brown sugar",30,12,322,Peanuts,Contains dairy which may affect lactose intolerant individuals,A delicious raspberry swirl ice cream with rich taste and smooth creamy texture.
201,Saffron Delight,Fruit,"roasted nuts, wafer pieces, butter, condensed milk, salt, brown sugar, cream",34,12,314,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious saffron delight ice cream with rich taste and smooth creamy texture.
202,Strawberry Swirl,Exotic,"wafer pieces, butter, honey, corn syrup, roasted nuts, salt",15,11,298,Gluten,High calorie dessert – consume moderately,A delicious strawberry swirl ice cream with rich taste and smooth creamy texture.
203,White Chocolate Blast,Fruit,"cookie crumbs, cream, cocoa powder, sugar, chocolate chips, vanilla extract, wafer pieces",35,14,222,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious white chocolate blast ice cream with rich taste and smooth creamy texture.
204,Dragon Fruit Delight,Classic,"food coloring, milk, cream, cocoa powder, fruit puree",35,8,218,Gluten,Artificial colors may cause mild sensitivity,A delicious dragon fruit delight ice cream with rich taste and smooth creamy texture.
205,Passion Fruit Dream,Fruit,"butter, natural flavor, cream, fruit puree, honey, salt",30,15,226,Gluten,High sugar intake may increase risk of diabetes,A delicious passion fruit dream ice cream with rich taste and smooth creamy texture.
206,Raspberry Delight,Candy,"salt, cream, butter, roasted nuts, caramel syrup, natural flavor",18,7,212,Nuts,Contains dairy which may affect lactose intolerant individuals,A delicious raspberry delight ice cream with rich taste and smooth creamy texture.
207,Vanilla Swirl,Fruit,"sugar, corn syrup, honey, brown sugar, butter, roasted nuts, wafer pieces",16,16,346,Soy,High sugar intake may increase risk of diabetes,A delicious vanilla swirl ice cream with rich taste and smooth creamy texture.
208,Cookies & Cream Dream,Nut,"corn syrup, cookie crumbs, cream, fruit puree, vanilla extract",22,20,343,Gluten,Nut allergens may cause allergic reactions,A delicious cookies & cream dream ice cream with rich taste and smooth creamy texture.
209,Caramel Fusion,Exotic,"caramel syrup, fruit puree, food coloring, condensed milk, milk, natural flavor",18,13,219,Soy,Artificial colors may cause mild sensitivity,A delicious caramel fusion ice cream with rich taste and smooth creamy texture.
210,Pistachio Fusion,Exotic,"cocoa powder, cookie crumbs, food coloring, vanilla extract, brown sugar, caramel syrup, butter, corn syrup",16,9,319,None,High sugar intake may increase risk of diabetes,A delicious pistachio fusion ice cream with rich taste and smooth creamy texture.
211,Mint Delight,Nut,"milk, chocolate chips, wafer pieces, honey, natural flavor, corn syrup",30,20,326,Soy,High fat content may contribute to obesity,A delicious mint delight ice cream with rich taste and smooth creamy texture.
212,Mint Swirl,Candy,"roasted nuts, food coloring, corn syrup, salt, vanilla extract, wafer pieces",30,8,340,Gluten,High fat content may contribute to obesity,A delicious mint swirl ice cream with rich taste and smooth creamy texture.
213,Cardamom Cream,Healthy,"brown sugar, food coloring, wafer pieces, honey, vanilla extract, cookie crumbs",34,10,346,Soy,High fat content may contribute to obesity,A delicious cardamom cream ice cream with rich taste and smooth creamy texture.
214,Coffee Swirl,Candy,"salt, vanilla extract, brown sugar, condensed milk, fruit puree",25,17,343,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious coffee swirl ice cream with rich taste and smooth creamy texture.
215,Almond Swirl,Candy,"caramel syrup, natural flavor, milk, cookie crumbs, cocoa powder, honey, salt",23,6,328,Milk,Contains dairy which may affect lactose intolerant individuals,A delicious almond swirl ice cream with rich taste and smooth creamy texture.
216,Orange Swirl,Candy,"cream, salt, cocoa powder, sugar, brown sugar",15,17,274,Nuts,High sugar intake may increase risk of diabetes,A delicious orange swirl ice cream with rich taste and smooth creamy texture.
217,Cardamom Cream,Premium,"milk, corn syrup, cocoa powder, caramel syrup, cookie crumbs",33,13,300,None,Nut allergens may cause allergic reactions,A delicious cardamom cream ice cream with rich taste and smooth creamy texture.
218,Coffee Fusion,Premium,"butter, milk, corn syrup, cocoa powder, cream, condensed milk",28,5,348,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious coffee fusion ice cream with rich taste and smooth creamy texture.
219,Mocha Blast,Healthy,"brown sugar, honey, milk, butter, wafer pieces, chocolate chips",35,15,325,None,Artificial colors may cause mild sensitivity,A delicious mocha blast ice cream with rich taste and smooth creamy texture.
220,Cookies & Cream Blast,Healthy,"fruit puree, cookie crumbs, natural flavor, food coloring, brown sugar, salt",33,10,320,Soy,Contains dairy which may affect lactose intolerant individuals,A delicious cookies & cream blast ice cream with rich taste and smooth creamy texture.
221,Kitkat Dream,Premium,"wafer pieces, cookie crumbs, vanilla extract, salt, natural flavor, butter",22,15,311,Peanuts,Artificial colors may cause mild sensitivity,A delicious kitkat dream ice cream with rich taste and smooth creamy texture.
222,Walnut Delight,Premium,"chocolate chips, cocoa powder, sugar, wafer pieces, caramel syrup, salt, vanilla extract, milk",22,20,260,Soy,High sugar intake may increase risk of diabetes,A delicious walnut delight ice cream with rich taste and smooth creamy texture.
223,Walnut Delight,Chocolate,"salt, cream, brown sugar, sugar, vanilla extract, honey, caramel syrup, corn syrup",34,16,301,Nuts,High sugar intake may increase risk of diabetes,A delicious walnut delight ice cream with rich taste and smooth creamy texture.
224,Pineapple Dream,Chocolate,"fruit puree, cocoa powder, milk, honey, butter, roasted nuts, chocolate chips, brown sugar",35,12,261,Gluten,Contains dairy which may affect lactose intolerant individuals,A delicious pineapple dream ice cream with rich taste and smooth creamy texture.
225,Rose Swirl,Premium,"fruit puree, corn syrup, sugar, chocolate chips, cookie crumbs, vanilla extract, salt, brown sugar",25,8,345,Gluten,Artificial colors may cause mild sensitivity,A delicious rose swirl ice cream with rich taste and smooth creamy texture.
226,Mango Delight,Fruit,"butter, fruit puree, natural flavor, roasted nuts, corn syrup",18,12,324,Gluten,Artificial colors may cause mild sensitivity,A delicious mango delight ice cream with rich taste and smooth creamy texture.
227,Oreo Dream,Chocolate,"honey, caramel syrup, natural flavor, condensed milk, milk, sugar",30,9,198,Soy,Artificial colors may cause mild sensitivity,A delicious oreo dream ice cream with rich taste and smooth creamy texture.
228,Mint Delight,Fruit,"wafer pieces, condensed milk, corn syrup, cream, cocoa powder, natural flavor",15,8,291,Gluten,High sugar intake may increase risk of diabetes,A delicious mint delight ice cream with rich taste and smooth creamy texture.
229,Hazelnut Swirl,Candy,"roasted nuts, cocoa powder, fruit puree, milk, corn syrup, natural flavor, condensed milk, chocolate chips",20,13,220,Soy,High calorie dessert – consume moderately,A delicious hazelnut swirl ice cream with rich taste and smooth creamy texture.
230,Saffron Cream,Fruit,"cream, milk, corn syrup, natural flavor, brown sugar, butter, caramel syrup, condensed milk",18,16,221,None,High sugar intake may increase risk of diabetes,A delicious saffron cream ice cream with rich taste and smooth creamy texture.
231,Blueberry Blast,Candy,"wafer pieces, butter, fruit puree, roasted nuts, cream",26,9,203,Soy,High calorie dessert – consume moderately,A delicious blueberry blast ice cream with rich taste and smooth creamy texture.
232,Saffron Swirl,Nut,"vanilla extract, cream, cookie crumbs, corn syrup, honey, food coloring",25,7,332,Peanuts,High fat content may contribute to obesity,A delicious saffron swirl ice cream with rich taste and smooth creamy texture.
233,Almond Fusion,Healthy,"fruit puree, condensed milk, brown sugar, chocolate chips, cookie crumbs, butter, cocoa powder, roasted nuts",23,12,270,None,High fat content may contribute to obesity,A delicious almond fusion ice cream with rich taste and smooth creamy texture.
234,Marshmallow Cream,Exotic,"fruit puree, cream, cocoa powder, vanilla extract, roasted nuts, corn syrup, condensed milk, salt",18,6,290,Nuts,High fat content may contribute to obesity,A delicious marshmallow cream ice cream with rich taste and smooth creamy texture.
235,Peach Blast,Fruit,"sugar, chocolate chips, corn syrup, cookie crumbs, caramel syrup, butter",18,10,289,None,Nut allergens may cause allergic reactions,A delicious peach blast ice cream with rich taste and smooth creamy texture.
236,Raspberry Dream,Nut,"cream, wafer pieces, corn syrup, brown sugar, roasted nuts, cookie crumbs, honey",32,8,302,Soy,Nut allergens may cause allergic reactions,A delicious raspberry dream ice cream with rich taste and smooth creamy texture.
237,Dark Chocolate Dream,Classic,"cocoa powder, corn syrup, cookie crumbs, cream, vanilla extract, brown sugar, food coloring, chocolate chips",21,17,181,None,High calorie dessert – consume moderately,A delicious dark chocolate dream ice cream with rich taste and smooth creamy texture.
238,Guava Delight,Premium,"chocolate chips, cookie crumbs, corn syrup, cream, food coloring, cocoa powder, fruit puree",18,19,217,None,High fat content may contribute to obesity,A delicious guava delight ice cream with rich taste and smooth creamy texture.
239,Butterscotch Cream,Chocolate,"cream, natural flavor, cookie crumbs, butter, vanilla extract, caramel syrup",21,15,314,Nuts,High calorie dessert – consume moderately,A delicious butterscotch cream ice cream with rich taste and smooth creamy texture.
240,White Chocolate Dream,Candy,"cream, food coloring, brown sugar, cocoa powder, condensed milk, sugar, butter",33,7,297,Nuts,Artificial colors may cause mild sensitivity,A delicious white chocolate dream ice cream with rich taste and smooth creamy texture.
241,Dragon Fruit Blast,Nut,"natural flavor, roasted nuts, honey, cocoa powder, wafer pieces, food coloring",21,12,345,Gluten,Nut allergens may cause allergic reactions,A delicious dragon fruit blast ice cream with rich taste and smooth creamy texture.
242,Oreo Dream,Exotic,"wafer pieces, cookie crumbs, brown sugar, milk, cocoa powder",19,18,250,None,Contains dairy which may affect lactose intolerant individuals,A delicious oreo dream ice cream with rich taste and smooth creamy texture.
243,Honey Delight,Healthy,"natural flavor, brown sugar, milk, fruit puree, corn syrup, wafer pieces",25,7,350,Nuts,High sugar intake may increase risk of diabetes,A delicious honey delight ice cream with rich taste and smooth creamy texture.
244,Salted Caramel Cream,Healthy,"food coloring, cream, corn syrup, salt, condensed milk, wafer pieces, roasted nuts, fruit puree",35,10,188,None,Artificial colors may cause mild sensitivity,A delicious salted caramel cream ice cream with rich taste and smooth creamy texture.
245,Kitkat Blast,Healthy,"salt, condensed milk, cookie crumbs, food coloring, honey, butter",21,10,280,None,High fat content may contribute to obesity,A delicious kitkat blast ice cream with rich taste and smooth creamy texture.
246,Almond Swirl,Healthy,"cream, wafer pieces, honey, brown sugar, butter, vanilla extract",28,5,278,Peanuts,High fat content may contribute to obesity,A delicious almond swirl ice cream with rich taste and smooth creamy texture.
247,Pineapple Cream,Healthy,"brown sugar, corn syrup, fruit puree, condensed milk, milk, caramel syrup",18,15,220,None,Contains dairy which may affect lactose intolerant individuals,A delicious pineapple cream ice cream with rich taste and smooth creamy texture.
248,Vanilla Fusion,Premium,"honey, corn syrup, cocoa powder, vanilla extract, fruit puree, food coloring, chocolate chips, condensed milk",15,13,301,None,Nut allergens may cause allergic reactions,A delicious vanilla fusion ice cream with rich taste and smooth creamy texture.
249,Strawberry Swirl,Fruit,"cream, natural flavor, caramel syrup, wafer pieces, fruit puree, honey, food coloring, chocolate chips",31,5,227,None,Nut allergens may cause allergic reactions,A delicious strawberry swirl ice cream with rich taste and smooth creamy texture.
250,Cookies & Cream Cream,Premium,"roasted nuts, wafer pieces, fruit puree, natural flavor, food coloring, sugar, cookie crumbs",23,19,344,None,Artificial colors may cause mild sensitivity,A delicious cookies & cream cream ice cream with rich taste and smooth creamy texture.
251,Passion Fruit Swirl,Healthy,"fruit puree, honey, butter, wafer pieces, vanilla extract",29,11,271,None,Nut allergens may cause allergic reactions,A delicious passion fruit swirl ice cream with rich taste and smooth creamy texture.
252,Guava Blast,Exotic,"cocoa powder, butter, condensed milk, corn syrup, fruit puree, brown sugar, chocolate chips",30,12,234,Gluten,High fat content may contribute to obesity,A delicious guava blast ice cream with rich taste and smooth creamy texture.
253,Brownie Swirl,Healthy,"milk, wafer pieces, roasted nuts, cookie crumbs, cream, condensed milk",30,6,224,Peanuts,High calorie dessert – consume moderately,A delicious brownie swirl ice cream with rich taste and smooth creamy texture.
254,Chocolate Cream,Exotic,"fruit puree, chocolate chips, cocoa powder, milk, condensed milk, wafer pieces, roasted nuts, corn syrup",29,20,307,Nuts,High calorie dessert – consume moderately,A delicious chocolate cream ice cream with rich taste and smooth creamy texture.
255,Guava Delight,Fruit,"condensed milk, honey, cream, sugar, fruit puree, brown sugar, chocolate chips",15,18,254,None,Contains dairy which may affect lactose intolerant individuals,A delicious guava delight ice cream with rich taste and smooth creamy texture.
